Номер шага	Время	Критерий останова #0
1	0.25	-6.4438e-07
2	0.5	-0.000661654
3	0.75	-0.000448508
4	1	-0.000462705
5	1.25	-0.000472332
6	1.5	-0.000488815
7	1.75	-0.000521182
8	2	-0.000560334
9	2.25	-0.000593498
10	2.5	-0.000620015
11	2.75	-0.000639399
12	3	-0.000651526
13	3.25	-0.000656741
14	3.5	-0.000655467
15	3.75	-0.000648498
16	4	-0.000636755
17	4.25	-0.000621698
18	4.5	-0.000605748
19	4.75	-0.000590963
20	5	-0.000579263
21	5.25	-0.00057114
22	5.5	-0.000566013
23	5.75	-0.000562982
24	6	-0.000560987
25	6.25	-0.000559452
26	6.5	-0.000558193
27	6.75	-0.000556983
28	7	-0.000555438
29	7.25	-0.00055383
30	7.5	-0.000552251
31	7.75	-0.000550776
