Номер шага	Время	Критерий останова #0
1	0.25	-9.72528e-08
2	0.5	-9.73009e-05
3	0.75	-1.92182e-05
4	1	-8.69761e-06
5	1.25	-7.21367e-06
6	1.5	-7.25711e-06
7	1.75	-7.34373e-06
8	2	-7.39615e-06
9	2.25	-7.43959e-06
10	2.5	-7.50388e-06
11	2.75	-7.58354e-06
12	3	-7.68541e-06
13	3.25	-7.79326e-06
14	3.5	-7.92203e-06
15	3.75	-8.05702e-06
16	4	-8.19306e-06
17	4.25	-8.31559e-06
18	4.5	-8.463e-06
19	4.75	-8.59817e-06
20	5	-8.75454e-06
21	5.25	-8.89856e-06
22	5.5	-9.05181e-06
23	5.75	-9.21017e-06
24	6	-9.37112e-06
25	6.25	-9.53345e-06
26	6.5	-9.69728e-06
27	6.75	-9.8618e-06
28	7	-1.0026e-05
29	7.25	-1.01897e-05
30	7.5	-1.03532e-05
31	7.75	-1.05212e-05
32	8	-1.06767e-05
33	8.25	-1.08315e-05
34	8.5	-1.09946e-05
35	8.75	-1.11472e-05
36	9	-1.1305e-05
37	9.25	-1.14598e-05
38	9.5	-1.16119e-05
39	9.75	-1.17615e-05
40	10	-1.19119e-05
41	10.25	-1.20645e-05
42	10.5	-1.22102e-05
43	10.75	-1.23494e-05
44	11	-1.24846e-05
45	11.25	-1.26173e-05
46	11.5	-1.27476e-05
47	11.75	-1.28745e-05
48	12	-1.2997e-05
49	12.25	-1.31149e-05
50	12.5	-1.32281e-05
51	12.75	-1.33372e-05
52	13	-1.34415e-05
53	13.25	-1.35405e-05
54	13.5	-1.36339e-05
55	13.75	-1.37226e-05
56	14	-1.38067e-05
57	14.25	-1.38849e-05
58	14.5	-1.39577e-05
59	14.75	-1.40247e-05
60	15	-1.40869e-05
61	15.25	-1.41448e-05
62	15.5	-1.41977e-05
63	15.75	-1.42464e-05
64	16	-1.42912e-05
65	16.25	-1.43331e-05
66	16.5	-1.43716e-05
67	16.75	-1.44077e-05
68	17	-1.44423e-05
69	17.25	-1.44757e-05
70	17.5	-1.4508e-05
71	17.75	-1.454e-05
72	18	-1.45713e-05
73	18.25	-1.46024e-05
74	18.5	-1.46339e-05
75	18.75	-1.46653e-05
76	19	-1.46968e-05
77	19.25	-1.47281e-05
78	19.5	-1.47593e-05
79	19.75	-1.47909e-05
80	20	-1.48229e-05
81	20.25	-1.48552e-05
82	20.5	-1.48876e-05
83	20.75	-1.49196e-05
84	21	-1.49519e-05
85	21.25	-1.49846e-05
86	21.5	-1.50171e-05
87	21.75	-1.50494e-05
88	22	-1.50815e-05
89	22.25	-1.51138e-05
90	22.5	-1.51459e-05
91	22.75	-1.51779e-05
92	23	-1.52097e-05
93	23.25	-1.52413e-05
94	23.5	-1.52726e-05
95	23.75	-1.53037e-05
96	24	-1.53346e-05
97	24.25	-1.5365e-05
98	24.5	-1.53953e-05
99	24.75	-1.54253e-05
100	25	-1.54551e-05
101	25.25	-1.54845e-05
102	25.5	-1.55135e-05
103	25.75	-1.55424e-05
104	26	-1.55711e-05
105	26.25	-1.55996e-05
106	26.5	-1.56278e-05
107	26.75	-1.56558e-05
108	27	-1.56837e-05
109	27.25	-1.57114e-05
110	27.5	-1.57389e-05
111	27.75	-1.57661e-05
112	28	-1.57932e-05
113	28.25	-1.582e-05
114	28.5	-1.58466e-05
115	28.75	-1.5873e-05
116	29	-1.58992e-05
117	29.25	-1.59252e-05
118	29.5	-1.59511e-05
